,year,geo_lvl,geo_cd,geo_desc,plan_type,tot_opioid_clms,tot_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_5y_chg,opioid_prscrbng_rate_1y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_5y_chg,la_opioid_prscrbng_rate_1y_chg
211,2020,State,21.0,Kentucky,FFS,26178.0,1471351.0,1.78,-0.84,0.43,998.0,3.81,-7.62,-2.33
212,2020,State,21.0,Kentucky,MC,593705.0,19627897.0,3.02,-1.16,-0.02,16093.0,2.71,-0.08,0.04
213,2020,State,22.0,Louisiana,All,560087.0,18824650.0,2.98,-2.43,-0.28,13245.0,2.36,-1.17,0.05
214,2020,State,22.0,Louisiana,FFS,6233.0,730271.0,0.85,-2.65,-0.12,514.0,8.25,3.2,-0.64
215,2020,State,22.0,Louisiana,MC,553854.0,18094379.0,3.06,-2.96,-0.29,12731.0,2.3,-0.95,0.07
216,2020,State,23.0,Maine,All,74688.0,2414014.0,3.09,-2.72,-0.32,10045.0,13.45,-1.16,-0.6
217,2020,State,23.0,Maine,FFS,74688.0,2414014.0,3.09,-2.72,-0.32,10045.0,13.45,-1.16,-0.6
219,2020,State,24.0,Maryland,All,468119.0,13069563.0,3.58,-3.02,-0.2,45590.0,9.74,-1.91,-0.63
220,2020,State,24.0,Maryland,FFS,19888.0,4628153.0,0.43,-1.36,-0.1,2514.0,12.64,-0.94,1.05
221,2020,State,24.0,Maryland,MC,448231.0,8441410.0,5.31,-3.68,-0.09,43076.0,9.61,-1.85,-0.7
222,2020,State,25.0,Massachusetts,All,342792.0,15980380.0,2.15,-2.76,-0.09,31538.0,9.2,0.47,-0.39
223,2020,State,25.0,Massachusetts,FFS,164256.0,7811349.0,2.1,-2.07,-0.12,16612.0,10.11,-0.12,-0.07
224,2020,State,25.0,Massachusetts,MC,178536.0,8169031.0,2.19,-3.27,-0.08,14926.0,8.36,0.46,-0.69
225,2020,State,26.0,Michigan,All,941387.0,26621594.0,3.54,-4.49,-0.26,46836.0,4.98,-1.28,-0.66
226,2020,State,26.0,Michigan,FFS,71103.0,8392302.0,0.85,-1.65,-0.15,4980.0,7.0,-0.42,-0.92
227,2020,State,26.0,Michigan,MC,870284.0,18229292.0,4.77,-6.09,-0.29,41856.0,4.81,-1.31,-0.63
228,2020,State,27.0,Minnesota,All,309747.0,11399765.0,2.72,-3.02,-0.09,25288.0,8.16,0.02,0.23
229,2020,State,27.0,Minnesota,FFS,37959.0,1759224.0,2.16,-2.72,-0.2,3344.0,8.81,-0.05,-0.25
230,2020,State,27.0,Minnesota,MC,271788.0,9640541.0,2.82,-3.17,-0.08,21944.0,8.07,0.1,0.32
231,2020,State,28.0,Mississippi,All,159798.0,4845372.0,3.3,-3.59,-0.37,6870.0,4.3,0.27,-0.39
232,2020,State,28.0,Mississippi,FFS,23874.0,912022.0,2.62,-1.45,-0.5,1462.0,6.12,0.7,-1.17
233,2020,State,28.0,Mississippi,MC,135924.0,3933350.0,3.46,-4.63,-0.33,5408.0,3.98,0.24,-0.26
234,2020,State,29.0,Missouri,All,308392.0,10587674.0,2.91,-3.07,-0.33,20919.0,6.78,-2.35,-1.14
235,2020,State,29.0,Missouri,FFS,308392.0,10587674.0,2.91,-3.07,-0.33,20919.0,6.78,-2.35,-1.14
