Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,54,West Virginia,MC,161,312269,0.05,-4.62,,,,,
2021,State,55,Wisconsin,All,491604,11162438,4.4,-3.26,-0.17,103567,21.07,4.97,-1.69
2021,State,55,Wisconsin,FFS,491604,11162438,4.4,-3.27,-0.17,103567,21.07,5.02,-1.69
2021,State,55,Wisconsin,MC,0,0,,,,0,,,
2021,State,56,Wyoming,All,17713,446621,3.97,-2.44,-0.35,2010,11.35,2.13,-0.46
2021,State,56,Wyoming,FFS,17713,446621,3.97,-2.44,-0.35,2010,11.35,2.13,-0.46
2021,State,56,Wyoming,MC,0,0,,,,0,,,
2020,National,,National,All,21159978,653713145,3.24,-2.67,-0.01,4008483,18.94,11.34,4.8
2020,National,,National,FFS,5299680,179308208,2.96,-2.88,-0.23,712080,13.44,4.75,0.03
2020,National,,National,MC,15860298,474404937,3.34,-2.61,0.07,3296403,20.78,13.74,6.36
2020,State,01,Alabama,All,182750,6731532,2.71,-2.92,-0.39,8428,4.61,-0.17,0.01
2020,State,01,Alabama,FFS,182750,6731532,2.71,-2.92,-0.39,8428,4.61,-0.17,0.01
2020,State,01,Alabama,MC,0,0,,,,0,,,
2020,State,02,Alaska,All,57131,1329276,4.3,-3.31,-0.26,7264,12.71,0.39,0.07
2020,State,02,Alaska,FFS,57131,1329276,4.3,-3.31,-0.26,7264,12.71,0.39,0.07
2020,State,02,Alaska,MC,0,0,,,,0,,,
2020,State,04,Arizona,All,528058,14379406,3.67,-4.12,-0.31,38059,7.21,-3.18,-0.24
2020,State,04,Arizona,FFS,8815,178530,4.94,-10.42,-1.58,574,6.51,-2.22,0.43
2020,State,04,Arizona,MC,519243,14200876,3.66,-4.06,-0.29,37485,7.22,-3.2,-0.25
2020,State,05,Arkansas,All,183608,4747650,3.87,-3.14,-0.45,6311,3.44,-1.35,-0.31
2020,State,05,Arkansas,FFS,169650,3808746,4.45,-2.56,-0.34,5925,3.49,-1.3,-0.3
2020,State,05,Arkansas,MC,13958,938904,1.49,,-0.21,386,2.77,,-0.43
2020,State,06,California,All,2438944,81928518,2.98,-2.61,-0.21,150614,6.18,-0.33,-0.13
2020,State,06,California,FFS,575354,21386281,2.69,-2.54,-0.27,54830,9.53,1.7,0.6
2020,State,06,California,MC,1863590,60542237,3.08,-2.67,-0.18,95784,5.14,-0.84,-0.32
2020,State,08,Colorado,All,389352,7539980,5.16,-5.05,-0.36,38019,9.76,1.04,0.5
